"","Title","Year","Genre","Plot","Actors","imdbRating"
"31","The Wolf of Wall Street",2013,"Biography, Crime, Drama","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey","8.2"
"32","The Deer Hunter",1978,"Drama, War","An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.","Robert De Niro, John Cazale, John Savage, Christopher Walken","8.1"
"33","The Sixth Sense",1999,"Drama, Mystery, Thriller","A boy who communicates with spirits seeks the help of a disheartened child psychologist.","Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams","8.1"
"34","Catch Me If You Can",2002,"Biography, Crime, Drama","A seasoned FBI agent pursues Frank Abagnale Jr. who, before his 19th birthday, successfully forged millions of dollars' worth of checks while posing as a Pan Am pilot, a doctor, and a legal prosecutor.","Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen","8.1"
"35","Shutter Island",2010,"Mystery, Thriller","In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.","Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow","8.1"
"36","Prisoners",2013,"Crime, Drama, Mystery, Thriller","When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.","Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello","8.1"
"37","Rain Man",1988,"Drama","Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.","Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen","8.0"
"38","Scent of a Woman",1992,"Drama","A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.","Al Pacino, Chris O'Donnell, James Rebhorn, Gabrielle Anwar","8.0"
"39","12 Monkeys",1995,"Mystery, Sci-Fi, Thriller","In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.","Joseph Melito, Bruce Willis, Jon Seda, Michael Chance","8.0"
"40","Donnie Darko",2001,"Drama, Sci-Fi, Thriller","A troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes, after he narrowly escapes a bizarre accident.","Jake Gyllenhaal, Holmes Osborne, Maggie Gyllenhaal, Daveigh Chase","8.0"
"41","Pirates of the Caribbean: The Curse of the Black Pearl",2003,"Action, Adventure, Fantasy","Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.","Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley","8.0"
"42","Cinderella Man",2005,"Biography, Drama, History, Romance, Sport","The story of James Braddock, a supposedly washed-up boxer who came back to become a champion and an inspiration in the 1930s.","Russell Crowe, Renée Zellweger, Paul Giamatti, Craig Bierko","8.0"
"43","Blood Diamond",2006,"Adventure, Drama, Thriller","A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.","Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers","8.0"
"44","The Avengers",2012,"Action, Adventure, Sci-Fi","Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","8.0"
"45","The Irishman",2019,"Biography, Crime, Drama","A mob hitman recalls his friend Jimmy Hoffa.","Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel","8.0"
"46","The Revenant",2015,"Action, Adventure, Biography, Drama, History, Western","A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.","Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson, Will Poulter","8.0"
"47","Brazil",1985,"Drama, Sci-Fi","A bureaucrat, in a retro-future world, tries to correct an administrative error and becomes an enemy of the state.","Jonathan Pryce, Robert De Niro, Katherine Helmond, Ian Holm","7.9"
"48","Edward Scissorhands",1990,"Drama, Fantasy, Romance","An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world.","Johnny Depp, Winona Ryder, Dianne Wiest, Anthony Michael Hall","7.9"
"49","Carlito's Way",1993,"Crime, Drama, Thriller","A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.","Al Pacino, Sean Penn, Penelope Ann Miller, John Leguizamo","7.9"
"50","Toy Story 2",1999,"Animation, Adventure, Comedy, Family, Fantasy","When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.","Tom Hanks, Tim Allen, Joan Cusack, Kelsey Grammer","7.9"
"51","Iron Man",2008,"Action, Adventure, Sci-Fi","After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.","Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow","7.9"
"52","Edge of Tomorrow",2014,"Action, Sci-Fi","A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.","Tom Cruise, Emily Blunt, Brendan Gleeson, Bill Paxton","7.9"
